Date;Open Price;High Price;Low Price;Close Price;WAP;No.of Shares;No. of Trades;Total Turnover (Rs.);Deliverable Quantity;% Deli. Qty to Traded Qty;Spread High-Low;Spread Close-Open
25-Jul-16;79.15;80.50;79.15;79.60;79.726.689.576.174.100.000;4365;58;348007.00;3325;76.17;1.35;0.45
22-Jul-16;80.55;80.55;79.50;79.75;79.902.942.694.889.000.000;9685;86;773860.00;7550;77.96;1.05;-0.80
21-Jul-16;80.85;81.55;80.10;81.35;80.960.777.957.860.600.000;6170;71;499528.00;4743;76.87;1.45;0.50
20-Jul-16;80.70;82.00;80.55;80.95;81.598.734.177.215.100.000;7900;61;644630.00;6847;86.67;1.45;0.25
19-Jul-16;81.50;82.25;80.00;80.65;81.423.711.573.236.800.000;8848;113;720437.00;6054;68.42;2.25;-0.85
18-Jul-16;81.45;82.80;80.00;80.65;81.471.416.209.979.800.000;17335;257;1412307.00;11684;67.40;2.80;-0.80
15-Jul-16;81.10;82.85;80.65;81.35;81.776.923.897.961.300.000;28107;310;2298504.00;11084;39.44;2.20;0.25
14-Jul-16;78.30;84.80;78.00;81.50;81.681.642.309.893.300.000;117079;1143;9563205.00;42186;36.03;6.80;3.20
13-Jul-16;77.45;79.00;77.00;77.25;77.686.404.547.607.700.000;8444;123;655984.00;3831;45.37;2.00;-0.20
12-Jul-16;77.20;78.25;76.50;76.65;77.210.724.233.983.200.000;7180;79;554373.00;5444;75.82;1.75;-0.55
11-Jul-16;77.15;77.25;75.75;76.65;76.403.355.536.006.000.000;15914;170;1215883.00;12048;75.71;1.50;-0.50
08-Jul-16;78.00;78.00;75.90;76.15;76.580.996.370.834.700.000;9093;94;696351.00;6869;75.54;2.10;-1.85
07-Jul-16;77.80;79.50;77.40;78.35;78.618.142.313.959.800.000;7364;132;578944.00;4736;64.31;2.10;0.55
05-Jul-16;76.90;78.00;76.90;77.60;77.351.673.544.245.700.000;4362;68;337408.00;3081;70.63;1.10;0.70
